ID,IMDB_ID,Budget,Production Companies,Production Countries,Revenue,Runtime,Director
998795,tt10192352,0,[],['Brazil'],0,0,Cláudia Mattos
998803,tt21260884,0,[],[],0,7,Tyler Riscoe
998805,,0,[],['Cuba'],0,10,Daniela Muñoz Barroso
998813,,100,[],['United States of America'],0,13,David Manitsky
998837,tt15205370,0,['Family Affair Films'],[],0,89,Sia Hermanides
998850,tt21156792,0,['BBC'],['United Kingdom'],0,90,Ben Steele
998851,,0,[],['Italy'],0,15,Saverio Cappiello
998854,,0,['BBC Music'],['United Kingdom'],0,90,
998856,,0,[],['Austria'],0,20,Leonhard Müllner
998857,,0,"['Les films du Worso', 'Mélodrama']",['France'],0,21,Pierre-Edouard Dumora
998858,,0,['Zycopolis Productions'],[],0,0,Sébastien Lefèbvre
998868,,0,[],[],0,9,Sofia El Khyari
998879,tt21223728,0,"['Bare', 'Korektif']","['Serbia', 'Slovenia']",0,23,Gorana Jovanović
998882,tt21802666,0,[],['Germany'],0,24,Hoda Taheri
998904,,0,['BBC Music'],['United Kingdom'],0,52,
998921,,0,[],['Switzerland'],0,16,Michèle Flury
998941,,0,[],[],0,18,Kamal Aljafari
998946,tt21746598,0,"['Barberousse Films', 'AMPAR', 'La chambre aux fresques']",['France'],0,41,Jérôme Reybaud
998947,tt17072974,0,[],['Australia'],0,92,Adam Morris
998948,,0,['Venin Films'],['France'],0,13,Elina Löwensohn
998950,,0,[],['Peru'],10,6,Gabriel Alvarez
998952,,0,[],['Slovenia'],0,12,Matjaž Ivanišin
998966,tt21611434,0,[],[],0,74,Roman Hüben
998975,tt21331200,0,[],['India'],0,120,Mani Bharathy
998990,,0,['Independent Film Distributors'],['Brazil'],0,0,Gabriel Elmo
998993,,0,['Harlem Veteran Project'],['United States of America'],0,30,Nate Talan
999023,,0,['Nikel'],['Argentina'],0,0,Kevin Zeta
999039,tt15693760,0,"['Almost Never Films', 'Reel One Entertainment']","['Canada', 'United States of America']",0,90,Dave Thomas
999043,,0,['NO NARRATIVE FILMS'],[],0,7,Y. Nithin
999062,,0,['Escola das Artes - Universidade Católica'],['Portugal'],0,20,João Mendes Pinto
999071,,0,[],['Italy'],0,0,Giorgio Treves
999079,tt21638358,0,[],['Norway'],0,72,Stian Andersen
999089,,0,['Gusto Films'],['Australia'],0,80,Gus Berger
999093,,0,['The London Film School'],"['Portugal', 'United Kingdom']",0,18,João Salgado
999099,,0,[],[],0,57,Tamar Tal Anati
999104,tt21298322,0,"['Sky Road Productions', 'Front Street Pictures', 'Canadian Film or Video Production Tax Credit (CPTC)', 'Province of British Columbia Film Incentive BC']",['Canada'],0,84,Peter Benson
999107,,0,['WorldSBK'],['United States of America'],0,45,
999110,tt14028056,0,"['Hungarian National Film Fund', 'Sparks', 'RTL Magyarország']",['Hungary'],0,0,Yvonne Kerékgyártó
999114,tt20426646,0,"['Watchout Studio', 'TVN']",['Poland'],0,120,Xawery Żuławski
999115,tt13815702,0,"['Ammy Virk Productions', 'Tip Films Pvt. Ltd', 'Shri Narotam Ji Production']",['India'],0,113,Jass Grewal
999117,tt13748560,0,['Aurum Film'],['Poland'],0,112,Jacek Lusiński
999119,tt15062756,0,['Munk Studio'],[],0,99,Damian Kocur
999122,tt15540412,105,[],['Hungary'],0,0,Balázs Lévai
999126,tt15806744,0,[],[],0,60,John Reign
999139,tt21264918,0,['WFDiF'],['Poland'],0,98,Beata Dzianowicz
999143,tt18259454,0,['Carver Films'],['Australia'],0,92,Eddie Martin
999145,,0,['Locally Grown Films'],['Germany'],0,7,Nicolas Frenzel
999150,tt13084586,0,['Unquiet Films'],[],0,80,Christine Nyland
999152,tt20293246,0,[],[],0,70,Nelson J. Davis
999154,,0,['Kitfilms'],['Haiti'],0,17,Samuel Suffren
